perovskite_formula,current_density,repetition_index,VRHE,RA,RB,t,mu,QA,Nd,XA,XB,mu_t
La0.5Ca0.5CoO3,0.05,rep4,1.562,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep5,1.562,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep6,1.561,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep7,1.561,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep8,1.56,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep9,1.74,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep10,1.679,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep11,1.68,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep12,1.683,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.8Sr0.2CoO3,0.05,rep1,1.57,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep2,1.569,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep3,1.571,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep4,1.568,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep5,1.571,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep6,1.569,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep7,1.567,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep8,1.567,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep9,1.769,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep10,1.681,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep11,1.698,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
La0.8Sr0.2CoO3,0.05,rep12,1.686,1.376,0.542,1.018801842,0.401481481,2.8,5.8,1.07,1.88,0.394072198
Sr0.25La0.75Fe0.5Co0.5O3,0.05,rep1,1.555,1.38,0.5415,1.020566488,0.401111111,2.75,5.25,1.0625,1.855,0.393027907
Sr0.25La0.75Fe0.5Co0.5O3,0.05,rep2,1.545,1.38,0.5415,1.020566488,0.401111111,2.75,5.25,1.0625,1.855,0.393027907
Sr0.25La0.75Fe0.5Co0.5O3,0.05,rep3,1.555,1.38,0.5415,1.020566488,0.401111111,2.75,5.25,1.0625,1.855,0.393027907
Sr0.25La0.75Fe0.5Co0.5O3,0.05,rep4,1.548,1.38,0.5415,1.020566488,0.401111111,2.75,5.25,1.0625,1.855,0.393027907
Sr0.25La0.75Fe0.5Co0.5O3,0.05,rep5,1.549,1.38,0.5415,1.020566488,0.401111111,2.75,5.25,1.0625,1.855,0.393027907
